year,production_tons,alfalfa_share,acres_harvested,yield_tons_per_acre
2015,26352000.0,0.7,900000,0.01464
2016,28389000.0,0.7,900000,0.0157716666666666
2017,25646000.0,0.7,900000,0.0142477777777777
2018,22984000.0,0.7,900000,0.0127688888888888
2019,21226000.0,0.7,900000,0.0117922222222222
2020,18456000.0,0.7,900000,0.0102533333333333
2021,20519000.0,0.7,900000,0.0113994444444444
2022,19528000.0,0.7,900000,0.0108488888888888
2023,22093000.0,0.7,900000,0.0122738888888888
2024,19571000.0,0.7,900000,0.0108727777777777
2025,13208000.0,0.7,900000,0.0073377777777777
2026,13208000.0,0.7,900000,0.0073377777777777
